term,clean.name
inreport1,In report
tier1_1,Tier 1
tier1_2,Tier 2
tier1_25,Watch list
tier1_3,Tier 3
new_watch3,First demotion (t−3)
new_watch2,First demotion (t−2)
new_watch1,First demotion (t−1)
logeconasstP_1,US aid (logged)
loggdppercap_1,GDP per capita (logged)
logpop_1,Population (logged)
newus_share_tot_trade1,Share of total trade with US
totalfreedom1,Worse total freedom
ratproto2000_1,2000 TIP protocol ratification
loght_news_country,Human trafficking news (logged)
tier_2,Tier 2
tier_25,Watch list
tier_3,Tier 3
reactionnomedia1,Reactions
totalreactionnomedia1,Total reactions
