Reaction, Anger or frustration, Appreciation, Comparison, Cooperative, Disappointment,Embarrassment/reputation, Funding, Harming relations, How to improve, Moving goal posts,Negative, Objection, Other comments, Public face saving, US arrogance
Anger or frustration,44,,,,,,,,,,,,,,
Appreciation,1,46,,,,,,,,,,,,,
Comparison,12,1,48,,,,,,,,,,,,
Cooperative,6,11,4,167,,,,,,,,,,,
Disappointment,9,2,9,18,69,,,,,,,,,,
Embarrassment/reputation,2,2,6,0,6,22,,,,,,,,,
Funding,2,0,1,6,4,2,27,,,,,,,,
Harming relations,5,0,4,0,3,2,1,14,,,,,,,
How to improve,4,4,6,12,10,7,4,0,46,,,,,,
Moving goal posts,6,1,2,2,5,4,2,1,3,17,,,,,
Negative,6,0,8,3,5,5,2,3,1,2,31,,,,
Objection,16,1,18,11,20,6,8,6,3,8,12,92,,,
Other comments,9,4,9,8,9,2,3,1,3,5,8,16,58,,
Public face saving,4,0,3,4,7,4,4,2,3,3,5,12,6,30,
US arrogance,6,2,6,6,2,1,1,1,1,1,3,8,11,5,27
